image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
,Swayze Field,Oxford,MS,University of Mississippi,Southeastern,"11,000+","1948rebuilt 1989, renovated 2010, renovated 2018",,34.362399,-89.5288256,141.0812531
,"Dudy Noble Field, Polk–DeMent Stadium",Starkville,MS,Mississippi State,Southeastern,15000,"1967rebuilt 1987, renovated 2001, rebuilt 2019",,33.4630609,-88.7940698,110.2767029
,Taylor Stadium,Columbia,MO,Missouri,Southeastern,3031,2002,,38.9355047,-92.3386596,219.3873901
,Founders Park,Columbia,SC,South Carolina,Southeastern,8242,2009,,33.9865404,-81.042621,52.44177628
,Lindsey Nelson Stadium,Knoxville,TN,Tennessee,Southeastern,4387,1959rebuilt 1993,,35.949736,-83.92927,275.5996094
,Olsen Field at Blue Bell Park,College Station,TX,Texas A&M,Southeastern,6100,1978renovated 2014,,30.6060601,-96.3413557,103.0995331
,Hawkins Field,Nashville,TN,Vanderbilt,Southeastern,3626,2002,,36.1433984,-86.8073934,161.9081268
,Joseph P. Riley Jr. Park,Charleston,SC,The Citadel,Southern,6000,1997,,32.790528,-79.9613184,3.128093719
,Thomas Stadium,Johnson City,TN,East Tennessee State,Southern,1000,2012,,36.3098832,-82.3634988,500.3685608
,Claude Smith Field,Macon,GA,Mercer,Southern,500,—,,32.8279324,-83.6535568,133.698288
,Joe Lee Griffin Stadium,Homewood,AL,Samford,Southern,1000,—,,33.462803,-86.7967674,212.5553284
,UNCG Baseball Stadium,Greensboro,NC,UNC Greensboro,Southern,3500,1999,,36.0676561,-79.8133738,245.2696228
,Hennon Stadium,Cullowhee,NC,Western Carolina,Southern,1500,1978,,35.3006808,-83.1808101,642.9626465
,Gray–Minor Stadium,Lexington,VA,VMI,Southern,1400,2007,,37.7926097,-79.4400745,291.5003662
,Russell C. King Field,Spartanburg,SC,Wofford,Southern,2500,2004,,34.9588822,-81.9307341,234.9904327
,Husky Field,Houston,TX,Houston Christian,Southland,500,1993,[37],29.6924131,-95.5133115,19.65855217
,Daniel Sullivan Field,San Antonio,TX,Incarnate Word,Southland,1000,1989,,29.4686104,-98.4707856,209.7190704
,Vincent–Beck Stadium,Beaumont,TX,Lamar,Southland,3500,1969(Renovated 2006following Hurricane Rita),[38][39],30.0346661,-94.0747752,5.432114124
,Joe Miller Ballpark,Lake Charles,LA,McNeese,Southland,2000,1965,,30.1728322,-93.2135598,3.834161758
,Maestri Field at Privateer Park,New Orleans,LA,New Orleans,Southland,2900,1979(Renovation 2013),[40],30.0304884,-90.0470967,1.002143621
,Ben Meyer Diamond at Ray E. Didier Field,Thibodaux,LA,Nicholls,Southland,3200,1960,,29.7857095,-90.8021236,2.931951046
,H. Alvin Brown–C. C. Stroud Field,Natchitoches,LA,Northwestern State,Southland,1200,1939,,31.7922682,-93.1314667,61.13729858
,Pat Kenelly Diamond at Alumni Field,Hammond,LA,Southeastern Louisiana University,Southland,2500,1992,,30.5095415,-90.4706791,13.24513721
,Chapman Field,Corpus Christi,TX,Texas A&M-Corpus Christi,Southland,750,2002Major renovation 2012,[41],27.709946,-97.3245836,3.755827904
,Bulldog Field,Normal,AL,Alabama A&M,SWAC,500,1997,,34.7803796,-86.5784764,215.1184692
,Wheeler–Watkins Baseball Complex,Montgomery,AL,Alabama State,SWAC,500,2011,,32.3603134,-86.2884093,85.47280121
,Foster Baseball Field at McGowan Stadium,Lorman,MS,Alcorn State,SWAC,500,2010,,31.8754612,-91.1375647,76.27629852
,Torii Hunter Baseball/Softball Complex,Pine Bluff,AR,Arkansas–Pine Bluff,SWAC,1000,2009-11,,34.2547488,-92.016871,65.60681915
,Radiology Associates Field at Jackie Robinson Ballpark,Daytona,FL,Bethune–Cookman[b],SWAC,4200,1914,,29.2092654,-81.0159085,1.132305145
,Moore–Kittles Field,Tallahassee,FL,Florida A&M,SWAC,500,1983,,30.4191944,-84.291012,32.80353928
,Wilbert Ellis Field at Ralph Waldo Emerson Jones Park,Grambling,LA,Grambling,SWAC,1100,2002,,32.5255723,-92.709302,95.9559021
,Braddy Field,Jackson,MS,Jackson State,SWAC,800,2006,,32.2967442,-90.2009505,93.24630737
,Magnolia Field,Itta Bena,MS,Mississippi Valley State,SWAC,200,1950,,33.5099142,-90.3448135,38.71043015
,John W. Tankersley Field,Prairie View,TX,Prairie View A&M,SWAC,512,—,[43],,,
,Lee–Hines Field,Baton Rouge,LA,Southern,SWAC,1500,1992,,30.5207121,-91.1843378,19.59702301
,MacGregor Park,Houston,TX,Texas Southern,SWAC,500,—,,29.7105806,-95.3391707,10.66001034
,Newman Outdoor Field,Fargo,ND,North Dakota State,Summit,4513,1996,,46.8987317,-96.8037343,273.6011963
,Jackson Field,Greeley,CO,Northern Colorado,Summit,1500,1928,,40.4069254,-104.6863535,1431.301758
,Tal Anderson Field,Omaha,NE,Omaha,Summit,1500,2021,[44],41.2345746,-96.0184227,320.4002075
,J. L. Johnson Stadium,Tulsa,OK,Oral Roberts,Summit,2418,1977,,36.0494887,-95.948467,198.6058655
,Koch Diamond,St. Paul,MN,St. Thomas,Summit,250[45],2006,,44.954983,-93.1462529,271.8817749
,Erv Huether Field,Brookings,SD,South Dakota State,Summit,600,2008,,44.3224266,-96.7772227,494.9725647
,Beaver Field at Jim and Bettie Smith Stadium,Boone,NC,Appalachian State,Sun Belt,1000,2007,[46],36.2111108,-81.6927826,1062.363525
,Tomlinson Stadium–Kell Field,Jonesboro,AR,Arkansas State,Sun Belt,1200,1992,[47],35.8428242,-90.668392,86.147995
,Springs Brooks Stadium,Conway,SC,Coastal Carolina,Sun Belt,5500,N/A(Rebuilt 2013),,33.7928031,-79.0174575,12.79720497
,J. I. Clements Stadium,Statesboro,GA,Georgia Southern,Sun Belt,3000,2005,,32.4287969,-81.7816806,72.6190033
,Georgia State Baseball Complex,Decatur,GA,Georgia State,Sun Belt,1092,1986,,33.6876923,-84.2791986,232.0638733
,Eagle Field at Veterans Memorial Park,Harrisonburg,VA,James Madison,Sun Belt,1200,2010,,38.4460382,-78.8773198,398.5333862
,M. L. Tigue Moore Field at Russo Park,Lafayette,LA,Louisiana,Sun Belt,6015,1978renovated 2017,,30.213099,-92.041655,10.53493118
,Warhawk Field,Monroe,LA,University of Louisiana Monroe,Sun Belt,1800,1983,,32.5322574,-92.0634407,22.23731422
,Appalachian Power Park,Charleston,WV,Marshall,Sun Belt,4500,2005,,38.3482095,-81.6252764,183.7939911
,Linda K. Epling Stadium,Beckley,WV,Marshall,Sun Belt,2500,2010,,37.8150668,-81.1657652,740.8118896
,Bud Metheny Baseball Complex,Norfolk,VA,Old Dominion,Sun Belt,2500,1983,,36.8838422,-76.3097149,4.120559216
,Eddie Stanky Field,Mobile,AL,South Alabama,Sun Belt,4500,1980,,30.6916263,-88.1843172,64.61965942
,Pete Taylor Park,Hattiesburg,MS,Southern Miss,Sun Belt,4300,1985,,31.3335725,-89.3380978,66.2219162
,Bobcat Ballpark,San Marcos,TX,Texas State,Sun Belt,2500,2009,,29.8879632,-97.9282519,176.714386
,Riddle–Pace Field,Troy,AL,Troy,Sun Belt,2000,1931,,31.7982637,-85.952973,165.9943848
,Washington Trust Field and Patterson Baseball Complex,Spokane,WA,Gonzaga,West Coast,2300,2007,,47.6627098,-117.3989089,574.5100708
,George C. Page Stadium,Los Angeles,CA,Loyola Marymount,West Coast,1200,1983,,33.9666448,-118.4143933,44.29959869
,Klein Family Field,Stockton,CA,Pacific,West Coast,2500,2006,,37.9753026,-121.3159166,2.785621881
,Eddy D. Field Stadium,Malibu,CA,Pepperdine,West Coast,2000,1973,,34.0403085,-118.7109504,100.4457855
,Joe Etzel Field,Portland,OR,Portland,West Coast,1000,1988,,45.5736357,-122.7292523,50.21657944
,Louis Guisto Field,Moraga,CA,Saint Mary's,West Coast,1100,2012,,37.8420163,-122.1118128,182.6894684
,Fowler Park,San Diego,CA,San Diego,West Coast,1700,2013,,32.7757645,-117.1833515,45.72412491
,Dante Benedetti Diamond at Max Ulrich Field,San Francisco,CA,San Francisco,West Coast,2000,1953,,37.7769911,-122.4476556,81.96420288
,Stephen Schott Stadium,Santa Clara,CA,Santa Clara,West Coast,1500,2005,,37.3485007,-121.9315464,20.06122589
,Crutcher Scott Field,Abilene,TX,Abilene Christian,Western Athletic,4000,1991,[48],32.4728976,-99.7068087,521.5148926
,James W. Totman Stadium,Riverside,CA,California Baptist,Western Athletic,800,2007[49],,,,
,Brazell Field at GCU Ballpark,Phoenix,AZ,Grand Canyon,Western Athletic,3500,2018,,33.5124741,-112.1334617,349.2816162
,John Smith Field,Sacramento,CA,Sacramento State,Western Athletic,1200,1953,,38.5586042,-121.4267018,12.08512402
,Bannerwood Park,Bellevue,WA,Seattle,Western Athletic,300+,—,,47.5954567,-122.1634694,16.97997093
,Jaycees Field,Nacogdoches,TX,Stephen F. Austin,Western Athletic,1000,2009,,31.6345693,-94.6818237,128.7718964
,Cecil Ballow Baseball Complex,Stephenville,TX,Tarleton,Western Athletic,750[50],1988,,32.2116492,-98.2201017,408.3104553
,Bruce Hurst Field,St. George,UT,Utah Tech[52],Western Athletic,"2,500[53]",1994,,37.09884,-113.565416,805.7403564
,UCCU Ballpark,Orem,UT,Utah Valley,Western Athletic,5000,2005,,40.2772058,-111.717674,1395.227295
,Clay Gould Ballpark,Arlington,TX,UT Arlington,WAC,1600,1974,,32.721909,-97.1310583,195.1464844
,UTRGV Baseball Stadium,Edinburg,TX,UTRGV,Western Athletic,4000,2001,,26.3120282,-98.1763814,29.9624424
